#{"t_start": 1760091914.9956167, "env_id": "None"}
r,l,t
-555.89764,5000,2276.631462
110.59666,5000,2277.144666
-85.564445,5000,2281.075482
-344.3457,5000,2282.187568
-871.94977,5000,2289.869221
-194.25177,5000,2290.21664
-241.93436,5000,2293.642993
-323.35333,5000,2294.493021
-653.0111,5000,2302.33296
-209.75871,5000,2302.84243
-250.87115,5000,2305.926485
-275.01773,5000,2306.967545
-90.723885,5000,2314.14376
-711.96423,5000,2314.52796
-228.20192,5000,2318.020843
-306.6236,5000,2318.949579
-273.09116,5000,2326.277059
-420.50613,5000,2327.067151
-320.1057,5000,2330.262196
-437.88535,5000,2331.320217
-714.3894,5000,2338.900194
-118.97374,5000,2339.400486
-237.2921,5000,2342.441263
-226.86948,5000,2343.408235
-270.8694,5000,2350.811773
-500.48483,5000,2351.318086
-315.13654,5000,2354.53775
-410.6963,5000,2355.57637
-251.4573,5000,2363.310778
-430.1456,5000,2363.842315
-621.9773,5000,2366.973528
-235.1367,5000,2367.808736
-248.84259,5000,2375.498417
-539.61884,5000,2375.99229
-963.59973,5000,2379.096774
-431.19705,1885,2380.095568
-573.46783,5000,2380.146061
-286.36163,5000,2388.308064
-423.51633,5000,2391.610707
-263.57523,5000,2392.519835
-279.94202,5000,2392.571407
-717.35443,5000,2400.685027
-431.62723,5000,2403.776352
-292.2299,5000,2404.880879
-205.57332,5000,2404.953126
-68.60876,893,2406.902
-788.9695,2352,2410.496049
-351.2623,5000,2412.765506
-372.39352,5000,2415.84185
-246.35522,5000,2419.307012
-218.72017,5000,2422.884993
-736.1273,5000,2425.080675
-400.58792,5000,2428.204605
-406.39264,5000,2431.242118
-252.10365,5000,2435.062661
-597.04205,5000,2437.417774
-601.3528,2517,2437.611279
-1092.1874,2231,2440.466355
-334.93478,5000,2440.471637
-203.97618,5000,2450.622434
-476.1998,5000,2451.016224
-172.72118,5000,2453.950764
-969.2757,5000,2453.957937
-466.00574,5000,2463.291007
-899.50006,5000,2463.488477
-357.42792,5000,2466.358932
-131.27428,5000,2466.364094
-580.256,5000,2475.11378
-557.3588,5000,2475.465122
-510.15402,5000,2478.553621
-228.3987,5000,2478.561432
-589.46735,5000,2487.563144
-601.602,5000,2487.813166
-247.67833,5000,2490.75886
-375.55396,5000,2490.76511
-832.2548,5000,2499.864479
-1025.107,5000,2500.183202
-558.73083,5000,2503.038092
-118.44429,5000,2503.04291
623.33325,5000,2512.516469
-418.27948,5000,2512.725508
-112.09017,5000,2515.757962
-470.7846,5000,2515.765344
-270.1541,1155,2518.592401
-396.9993,1356,2518.94088
-349.3322,1648,2523.65273
30.473627,5000,2525.29304
687.9222,5000,2525.690033
-433.46786,5000,2531.198955
-232.60847,5000,2535.466975
-593.4425,5000,2537.168651
-809.51587,5000,2537.356319
-82.81622,5000,2543.493495
-686.2541,5000,2548.020877
-420.9966,5000,2549.756381
-409.83902,5000,2549.954569
69.29873,5000,2556.483798
-352.10837,5000,2560.838495
-421.6635,5000,2562.494889
-525.3861,5000,2562.834537
-257.36398,5000,2569.740211
-79.00477,5000,2576.671699
-382.9771,5000,2578.968948
-200.99246,5000,2579.218832
142.60886,5000,2586.546336
529.4419,5000,2592.310917
-227.59898,5000,2594.523645
367.13028,5000,2594.990176
-466.92432,1702,2600.225229
-7.7135,56,2600.336262
-844.748,1921,2601.125667
598.84045,5000,2602.519798
-172.12177,1195,2604.90777
-81.11054,5000,2608.084345
-213.61833,1567,2611.998345
392.111,5000,2614.2174
-267.51398,1485,2615.863771
-558.0648,5000,2616.057958
-426.1774,5000,2617.913611
-155.152,5000,2626.496459
-161.7769,5000,2628.296524
257.69162,5000,2628.672929
-400.58353,5000,2630.570571
-45.87736,916,2630.671754
-332.8578,5000,2639.355879
-245.9229,5000,2641.012978
-154.4701,5000,2642.801727
383.3843,5000,2643.140995
417.8656,5000,2651.414151
-279.01636,5000,2653.169109
-320.04358,5000,2654.974919
396.53625,5000,2655.074687
485.4205,5000,2664.033359
-134.66602,5000,2665.605876
-568.4773,5000,2667.413897
179.09856,5000,2667.633866
