#{"t_start": 1770881564.9366617, "env_id": "None"}
r,l,t
-167.45657,1165,57.60438
-146.69643,566,57.707587
-118.13045,298,57.741177
-140.59302,1411,57.76261
-89.098915,175,57.974784
-323.62286,515,58.01215
-86.334175,242,58.263746
-29.037346,65,58.343157
-321.18436,633,58.467005
-34.110725,50,58.531004
-9.865889,13,58.546539
-289.6761,526,58.646176
-43.844757,326,58.736073
-461.22443,1065,58.885191
-147.62343,253,58.945207
-237.69196,1030,58.977171
-56.00947,110,59.077235
-21.75612,32,59.115398
-212.54979,608,59.460539
-62.214767,532,59.61362
-20.155605,54,59.6783
-866.0713,2226,59.727512
-302.17404,553,59.776172
-21.752748,127,59.828949
-2277.2803,2944,60.021181
-31.36565,58,60.087667
-597.1559,1307,60.10619
-1138.7233,2906,60.135128
-117.85708,307,60.140173
-85.160934,375,60.273713
-133.34029,198,60.341539
-80.4554,203,60.517927
-225.09268,944,60.586149
-93.12565,424,60.59636
-97.7103,295,60.694871
-296.0349,817,60.699953
-84.08666,268,60.83809
-47.23263,123,60.843431
-197.4337,770,61.063541
-1198.2246,1976,61.250191
-73.020645,470,61.404516
-212.50117,686,61.422425
-104.16179,439,61.590639
-93.61908,381,61.70396
-686.7905,1337,61.737778
-174.46635,868,61.742427
-247.67645,1037,61.830116
-36.29622,217,61.84962
-169.5109,286,62.043705
-64.73869,233,62.125635
-125.954384,687,62.222681
-32.41208,90,62.330743
-217.00336,574,62.425667
-404.78232,1339,62.444465
-24.057808,33,62.464388
-19.463139,23,62.492273
-502.8739,950,62.552471
-69.74522,367,62.562092
-33.033943,143,62.615422
-94.6541,230,62.837706
-146.07024,325,63.003645
-101.49309,394,63.026056
-277.3451,827,63.317026
-140.1291,260,63.334207
-321.37616,1355,63.352841
-50.276806,148,63.490767
-280.15137,844,63.498463
-36.914993,104,63.615197
-27.930122,261,63.642619
-19.75785,39,63.66143
-29.243631,38,63.708127
-534.0901,1604,63.739686
-247.33437,331,63.746969
-176.40337,902,63.911671
-222.33556,372,63.942397
-700.61615,1689,64.05628
-201.01155,277,64.076389
-47.074512,123,64.087342
-386.20218,956,64.142415
-119.652306,426,64.152031
-69.85392,97,64.203899
-58.30239,124,64.22433
-221.01007,451,64.277341
-96.27381,226,64.420104
-152.14978,549,64.567007
-132.1758,334,64.602543
-107.14209,448,64.953666
-281.36572,686,65.043821
-59.277206,134,65.118151
-6.8750806,5,65.123938
-584.9828,1064,65.325342
-45.99591,81,65.421479
-287.06104,453,65.587015
-62.07004,151,65.606058
-325.12244,894,65.636798
-337.13217,947,65.735424
-173.4033,523,65.749607
-511.01257,1757,65.807246
-140.33609,225,66.010381
-193.47101,398,66.070597
-1000.1695,1665,66.147141
-13.375517,21,66.175268
-54.550262,211,66.280654
-97.34595,289,66.42992
-45.060368,539,66.475191
-208.76344,705,66.613668
-63.746525,163,66.668084
-692.9708,2094,66.803337
-208.41878,690,67.001752
-179.64629,330,67.003968
